pcd_Folder,pcd_File,pressure_MPa,pcd_f0_idx,pcd_H1_idx,pcd_H2_idx,pcd_H3_idx,pcd_f0_dB,pcd_H1_dB,pcd_H2_dB,pcd_H3_dB,pcd_U1_idx,pcd_U2_idx,pcd_U3_idx,pcd_U1_dB,pcd_U2_dB,pcd_U3_dB,pcd_U1_BB_dB,pcd_U2_BB_dB,pcd_U3_BB_dB,pcd_H1_exceeds,pcd_H2_exceeds,pcd_H3_exceeds,pcd_U1_exceeds,pcd_U2_exceeds,pcd_U3_exceeds,pcd_Unsafe_1s,pcd_Unsafe_2s,pcd_Unsafe_3s,pcd_Target_BB_std,pcd_Ambient_BB_std,concentration,probe_filename,probe_frame,probe_H1_idx,probe_H2_idx,probe_H3_idx,probe_H1_dB,probe_H2_dB,probe_H3_dB,probe_U1_idx,probe_U2_idx,probe_U3_idx,probe_U1_dB,probe_U2_dB,probe_U3_dB,probe_target_bb_std,probe_ambient_bb_std,probe_harmonic_threshold_dB,probe_U1_threshold_dB,probe_U2_threshold_dB,probe_U3_threshold_dB,probe_exceeds_H1,probe_exceeds_H2,probe_exceeds_H3,probe_exceeds_U1,probe_exceeds_U2,probe_exceeds_U3,probe_safety_1s,probe_safety_2s,probe_safety_3s
1000x_01,1000x_01_02.mat,0.025,13108,26215,39323,52430,-65.9070385080768,-86.7232257807427,-86.7693999307238,-86.9210844702279,19736,32344,45076,-86.5479692905054,-86.7562922008887,-86.8610255100086,-119.650824660548,-119.818915687616,-119.903172463313,1,1,1,0,0,0,0,0,0,6.64647876664731e-05,6.67342966648084e-05,1000x_01,PCI_1000x_01.pacq,1,12584,14681,16778,-56.4759342701009,-48.1099700010815,-54.8433429734559,14617,15422,18796,-52.6768458863298,-52.3617848658179,-50.6708123033881,0.459064489089503,0.466824353655995,-53.9883295258759,-54.2218417220859,-50.6375024680176,-48.3572425379499,0,1,0,1,0,0,0,0,0
1000x_01,1000x_01_04.mat,0.05,13108,26215,39323,52430,-59.5944780700591,-86.7542666266594,-86.8041325590601,-86.954666559389,18927,32580,45683,-86.5393047274134,-86.909635946362,-86.8687511411269,-119.704815446661,-119.836735718257,-119.958876631115,1,1,1,0,0,0,0,0,0,6.59320864132654e-05,6.66370829356995e-05,1000x_01,PCI_1000x_01.pacq,6,12584,14681,16778,-36.3001816282204,-28.4449631526705,-21.1590012314976,12773,14870,18811,-25.2801372727893,-23.004474117944,-20.9574160204511,1.30417254281364,0.474018350843289,-53.9380988900729,-53.6274229570285,-50.642513392505,-47.5078037648756,1,1,1,1,1,1,1,0,0
1000x_01,1000x_01_06.mat,0.075,13108,26215,39323,52430,-56.1680381807899,-86.6956456148257,-86.9330791184126,-86.8609478081708,18777,32782,45511,-86.3991189299696,-86.8131508291829,-86.9612513827519,-119.68947476164,-119.865153504994,-119.905442768071,1,1,1,0,0,0,0,0,0,6.59933906722842e-05,6.6643245118445e-05,1000x_01,PCI_1000x_01.pacq,11,12584,14681,16778,-31.0901212995868,-29.1157663001912,-21.8102373767383,12702,16699,18796,-19.5608745274959,-14.0649143988089,-11.9281568942084,12.0342430186824,0.488338569620121,-53.8534278557025,-41.9309078971906,-45.7038954499367,-44.9138043436155,1,1,1,1,1,1,1,1,1
1000x_01,1000x_01_08.mat,0.1,13108,26215,39323,52430,-53.6994786426379,-86.6285441088277,-86.8162921948694,-86.8827842094054,19993,31848,45410,-86.5396942050203,-86.817937189014,-86.8406768092824,-119.611534535785,-119.780080001499,-119.896066149543,1,1,1,0,0,0,0,0,0,6.67811187818903e-05,6.64546620340318e-05,1000x_01,PCI_1000x_01.pacq,16,12584,14681,16778,-37.6780138211443,-30.7264579257678,-21.7163891691731,12736,16498,18742,-26.269885105739,-21.9863956046187,-19.8385352380136,23.7506456720413,0.496292359263224,-53.5629526189086,-35.4703741112511,-35.2596619913373,-35.4317197840598,1,1,1,1,1,1,1,1,1
1000x_01,1000x_01_10.mat,0.125,13108,26215,39323,52430,-51.8527040496509,-86.5193979774446,-86.7195456297667,-86.9359031840511,19377,32488,46336,-86.4566198180063,-86.7811376550972,-86.9325670604584,-119.642314880429,-119.799412845799,-119.900773558846,1,1,1,0,0,0,0,0,0,6.63498863411731e-05,6.61395380879382e-05,1000x_01,PCI_1000x_01.pacq,21,12584,14681,16778,-37.6000103134123,-22.8261580459435,-20.398675065557,14438,16625,18707,-22.0538708725478,-19.8143412132697,-17.1333584100801,31.1321399466666,0.600999667339777,-53.2609320934293,-31.8762468143978,-34.9148964197528,-26.0697893957785,1,1,1,1,1,1,1,1,1
1000x_01,1000x_01_12.mat,0.15,13108,26215,39323,52430,-50.0073091999114,-86.2277803510991,-86.8108301884435,-86.917380328731,19174,33410,45496,-86.297521845547,-86.7327690729958,-86.7880470560219,-119.635938598872,-119.820764165245,-119.8969590336,1,1,1,0,0,0,0,0,0,6.63534179120485e-05,6.62310290302752e-05,1000x_01,PCI_1000x_01.pacq,26,12584,14681,16778,-17.9802711117675,-15.4356245648855,-13.4175061321729,14175,16489,18587,-12.9452110308274,-10.3127744830366,-8.42594960902825,62.0019916193769,0.781896132865829,-52.5921584629752,-24.6617395594979,-27.8926410725342,-20.8715442701799,1,1,1,1,1,1,1,1,1
1000x_01,1000x_01_14.mat,0.175,13108,26215,39323,52430,-48.6887063382271,-85.9419117021886,-86.7626546429299,-86.8306942812467,20463,33127,45236,-86.5770121699499,-86.7318302476214,-86.8360002996423,-119.657278548072,-119.737693127708,-119.841806433228,1,1,1,0,0,0,0,0,0,6.65449841054869e-05,6.58694634070371e-05,1000x_01,PCI_1000x_01.pacq,31,12584,14681,16778,-17.7788645629852,-13.6426883578933,-13.1720586048366,13920,16141,18609,-9.64429982802514,-8.30470027446482,-5.92500666404862,81.6396217766889,1.1184826954886,-51.9394180120308,-22.4721366449541,-25.3979093724033,-20.9244847599353,1,1,1,1,1,1,1,1,1
100x_02,100x_02_02.mat,0.025,13108,26215,39323,52430,-65.6901399192739,-86.594230653539,-86.7793650504141,-86.916007259384,20300,32523,45944,-86.6854551437384,-86.6736316711961,-86.8326325891735,-119.653826266627,-119.781532748278,-119.886972597299,1,1,1,0,0,0,0,0,0,6.70870694652583e-05,6.67342966648084e-05,100x_02,PCI_100x_02.pacq,1,12584,14681,16778,-57.2532072550789,-54.8620702096076,-53.463052859268,14494,14878,18811,-54.5248876301157,-48.0716569193537,-47.8010431955839,0.468588356131988,0.466824353655995,-53.9883295258759,-54.2218417220859,-50.6375024680176,-48.3572425379499,0,0,1,0,1,1,0,0,0
100x_02,100x_02_04.mat,0.05,13108,26215,39323,52430,-59.6318065012384,-86.4017071410535,-86.649746448374,-86.8387390998235,19206,31863,45653,-86.4803350902675,-86.5762265283409,-86.8800748578676,-119.564273589828,-119.721242384354,-119.856219132027,1,1,1,0,0,0,0,0,0,6.73376317996801e-05,6.66370829356995e-05,100x_02,PCI_100x_02.pacq,6,12584,14681,16778,-29.5298299392847,-24.9602870994154,-19.7240591945401,12780,16714,16842,-31.9876660253684,-26.069907316966,-26.1622614961197,0.82362718679819,0.474018350843289,-53.9380988900729,-53.6274229570285,-50.642513392505,-47.5078037648756,1,1,1,1,1,1,0,0,0
100x_02,100x_02_06.mat,0.075,13108,26215,39323,52430,-56.1476294652717,-86.3083661209879,-86.6740324873934,-86.9921463895165,19071,33404,46461,-86.5016684768337,-86.6910794047208,-86.7873732473001,-119.546983573854,-119.760896117515,-119.789183238951,1,1,1,0,0,0,0,0,0,6.73750689971346e-05,6.6643245118445e-05,100x_02,PCI_100x_02.pacq,11,12584,14681,16778,-23.3268035847262,-17.4124810472863,-16.4541368262023,12688,16705,18812,-18.7408357932858,-15.9743309278044,-12.0609827596433,12.7946995672653,0.488338569620121,-53.8534278557025,-41.9309078971906,-45.7038954499367,-44.9138043436155,1,1,1,1,1,1,1,1,1
