filename,frame,harmonic_amplitudes,target_harm_dB,ultraharmonic_amplitudes,target_uh_dB,harmonic_indices,ultraharmonic_indices,exceeds_harm,exceeds_uh,harmonic_threshold_dB,uh_threshold_dB,target_bb_std,ambient_bb_std,safety_1s,safety_2s,safety_3s
PCI_1000x_01.pacq,1,[2.25116108668224e-06 1.54526511343e-05 3.27842839564965e-06 8.40812680239084e-06],[-56.4759342701009 -48.1099700010815 -54.8433429734559 -50.7530074736476],[5.39902590633946e-06 5.80525783686205e-06 8.56877560061594e-06],[-52.6768458863298 -52.3617848658179 -50.6708123033881],[12584 14681 16778 18875],[14617 15422 18796],[0 1 0 1],[1 0 0],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.459064489089503,0.466824353655995,0,0,0
PCI_1000x_01.pacq,2,[9.14221994675045e-06 4.86488048069133e-05 1.32538607101817e-05 0.000167523832974353],[-50.3894833451125 -43.1292782491543 -48.7765759788536 -37.7592339881849],[8.82627440683304e-06 1.73298517184455e-05 6.65169468917757e-05],[-50.5422257456378 -47.612051532778 -41.7706769298355],[12584 14681 16778 18875],[14617 14878 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.471417595095943,0.466824353655995,0,0,0
PCI_1000x_01.pacq,3,[3.04637630440603e-05 5.11887096758451e-05 9.67535631912237e-05 0.00120396402553687],[-45.1621645135028 -42.908258176606 -40.1433303203731 -29.1938648960995],[1.06974639096147e-05 1.80478184588088e-05 0.000391293114948804],[-49.7071917003511 -47.4357528619931 -34.0749779371968],[12584 14681 16778 18875],[12781 14878 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.482099219330526,0.466824353655995,0,0,0
PCI_1000x_01.pacq,4,[1.65416764455112e-05 8.0070463299204e-05 0.000406345561963517 0.00109747648504707],[-47.8142047820913 -40.9652765859529 -33.9110447917504 -29.5960477634662],[0.000172371137287963 0.000107046587338146 0.000381893051441774],[-37.6353545293107 -39.7042717352448 -34.1805824355899],[12584 14681 16778 18875],[12780 14878 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.509729557885716,0.466824353655995,0,0,0
PCI_1000x_01.pacq,5,[0.000351440421538057 0.00446276726839509 0.0103085352781061 0.00324825307379315],[-34.5414828882439 -23.5039576085994 -19.868030384824 -24.8835014190924],[0.00111702821937088 0.00282481008560468 0.00243231842362282],[-29.5193585520825 -25.4901074485212 -26.1397957061233],[12584 14681 16778 18875],[12780 14877 16842],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],0.97012587066734,0.466824353655995,1,0,0
PCI_1000x_01.pacq,6,[0.000234413077833755 0.00143055211816092 0.00765772695197134 0.0252819451159549],[-36.3001816282204 -28.4449631526705 -21.1590012314976 -15.9718951580782],[0.00296473767793935 0.0050067117453929 0.0080215519035773],[-25.2801372727893 -23.004474117944 -20.9574160204511],[12584 14681 16778 18875],[12773 14870 18811],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],1.30417254281364,0.466824353655995,1,0,0
PCI_1000x_01.pacq,7,[0.000100315442454346 0.000576739160773369 0.00649957855013838 0.00897781388136413],[-39.9863220699472 -32.3902055885377 -21.8711480324689 -20.4682940217945],[0.00192967957577771 0.00273091321212417 0.00476254300488884],[-27.1451479981328 -25.6369210143276 -23.2216108969919],[12584 14681 16778 18875],[12778 14875 18808],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],2.53130378058482,0.466824353655995,1,1,1
PCI_1000x_01.pacq,8,[0.000332367928718775 0.000921737191193569 0.00529813638896011 0.00226749902195269],[-34.7838088937782 -30.3539288879926 -22.7587686593113 -26.444528915934],[0.00231417423232877 0.00627358057284909 0.0127385233649883],[-26.356039464688 -22.0248451990448 -18.9488091200106],[12584 14681 16778 18875],[12726 16724 18821],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],3.36765701340643,0.466824353655995,1,1,1
PCI_1000x_01.pacq,9,[0.000170058361761237 0.00155656574039277 0.00420949796309154 0.0132081034959342],[-37.6940200896805 -28.0783253249068 -23.7576969629262 -18.7915953669128],[0.00442133614029092 0.0133299948487811 0.0334623851224728],[-23.5444646579442 -18.7517001841408 -14.7544310675045],[12584 14681 16778 18875],[12708 16718 18815],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],5.10453553415375,0.466824353655995,1,1,1
PCI_1000x_01.pacq,10,[0.000374816566279038 0.000793018801246943 0.0033237080235679 0.00322296945576524],[-34.2618122225445 -31.0071651611114 -24.7837713450369 -24.9174381029761],[0.00481622136843456 0.0201992216486614 0.0212896843243592],[-23.1729355977346 -16.9466536521694 -16.7183077807343],[12584 14681 16778 18875],[14605 16703 18820],[1 1 1 1],[1 1 1],[-53.9883295258759 -53.9883295258759 -53.9883295258759 -53.9883295258759],[-54.2218417220859 -50.6375024680176 -48.3572425379499],7.06679613865165,0.466824353655995,1,1,1
