Folder,File,f0_idx,H1_idx,H2_idx,H3_idx,f0_dB,H1_dB,H2_dB,H3_dB,U1_idx,U2_idx,U3_idx,U1_dB,U2_dB,U3_dB,U1_BB_dB,U2_BB_dB,U3_BB_dB,H1_exceeds,H2_exceeds,H3_exceeds,U1_exceeds,U2_exceeds,U3_exceeds,Unsafe_1s,Unsafe_2s,Unsafe_3s,Target_BB_std,Ambient_BB_std
1m_x_01,1m_x_01_02.mat,13108,26215,39323,52430,-65.5871084059783,-86.6229953272487,-86.9197609965058,-86.8727021902153,19287,32747,46104,-86.4966008604395,-86.6580648070286,-86.9376741605024,-119.690000400574,-119.800758736767,-119.959084195404,1,1,1,0,0,0,0,0,0,6.59206950282632e-05,6.67342966648084e-05
1m_x_01,1m_x_01_04.mat,13108,26215,39323,52430,-59.2692695308082,-86.7061378326064,-86.9136736582794,-86.9579699287276,20170,33453,45409,-86.6721134781821,-86.7649794367817,-87.0011565269672,-119.790756596179,-119.874534909671,-119.998169217006,1,1,1,0,0,0,0,0,0,6.56813069817105e-05,6.66370829356995e-05
1m_x_01,1m_x_01_06.mat,13108,26215,39323,52430,-55.8656732751036,-86.6667249748176,-86.8297228956027,-87.0325130419318,19277,33486,45855,-86.6324507748677,-86.737324756921,-86.8241910706323,-119.69249224222,-119.815875451985,-119.894308504402,1,1,1,0,0,0,0,0,0,6.6388879397361e-05,6.6643245118445e-05
1m_x_01,1m_x_01_08.mat,13108,26215,39323,52430,-53.5311292807669,-86.6566757440025,-86.8445375701517,-86.9557796825799,20470,32019,44935,-86.5722185491843,-86.7687129701475,-86.9606718125259,-119.715763066026,-119.889411167806,-119.999309787015,1,1,1,0,0,0,0,0,0,6.62691185770355e-05,6.64546620340318e-05
1m_x_01,1m_x_01_10.mat,13108,26215,39323,52430,-51.4991515834616,-86.4305857920473,-86.7259056992661,-86.9469977382123,19888,33197,46057,-86.5730656697334,-86.6916177867756,-86.9214333194551,-119.636614565329,-119.796923170305,-119.940685476505,1,1,1,0,0,0,0,0,0,6.66588982953921e-05,6.61395380879382e-05
1m_x_01,1m_x_01_12.mat,13108,26215,39323,52430,-49.7171058926084,-85.8512380149762,-86.7356508891977,-86.720670330843,20624,32738,46207,-86.3908178527218,-86.0478262935524,-86.7396073508876,-119.416128979914,-119.512097349601,-119.717126512417,1,1,1,0,0,0,0,0,0,6.77577495574362e-05,6.62310290302752e-05
1m_x_01,1m_x_01_14.mat,13108,26215,39323,52430,-48.4689891029041,-85.5617674245621,-86.6858215357358,-86.7406903643706,18700,32495,46554,-85.904625452705,-86.2838372535259,-86.8333460149984,-119.465162368827,-119.636233482255,-119.755981706993,1,1,1,0,0,0,0,0,0,6.69479654252075e-05,6.58694634070371e-05
1m_x_01,1m_x_01_16.mat,13108,26215,39323,52430,-47.3243519284777,-84.7883515885919,-85.8237647575524,-86.2754515391383,20444,31931,45320,-85.77848505728,-84.5276189817438,-86.0026304724108,-118.732531181609,-118.445365193636,-119.081495195463,1,1,1,0,1,0,0,0,0,7.34751075229124e-05,6.64413772522635e-05
1m_x_01,1m_x_01_18.mat,13108,26215,39323,52430,-46.2972053150781,-85.0914253280555,-86.6274864823464,-86.9273518876982,19978,33170,46435,-86.3898350348671,-86.768070560985,-86.9787880560887,-119.681391708633,-119.799536490283,-119.914867378243,1,1,1,0,0,0,0,0,0,6.61540731745678e-05,6.58812815967015e-05
1m_x_01,1m_x_01_20.mat,13108,26215,39323,52430,-45.3712309348166,-84.7676142302502,-86.7822269390642,-87.0047228577901,20220,32162,45989,-86.3258610448712,-86.6923588464799,-86.8814286169197,-119.695137825061,-119.753631579566,-119.989638803609,1,1,1,0,0,0,0,0,0,6.64057717625946e-05,6.63388137940106e-05
1m_x_01,1m_x_01_22.mat,13108,26215,39323,52430,-44.5502842855079,-84.0281358831463,-86.7497583885147,-86.989471144446,19699,33322,45521,-86.2622191121255,-86.743889995206,-86.9426260559323,-119.568724968236,-119.78986868067,-119.882801200991,1,1,1,0,0,0,0,0,0,6.66608691329749e-05,6.59217125951575e-05
1m_x_01,1m_x_01_24.mat,13108,26215,39323,52430,-43.8185670295319,-83.3536867555991,-86.753610367838,-86.8013397701301,19644,32257,45115,-86.2476309693133,-86.7526291330739,-86.9070848321552,-119.59031951472,-119.818696199279,-119.938986756136,1,1,1,0,0,0,0,0,0,6.65938832994271e-05,6.65708030280694e-05
1m_x_01,1m_x_01_26.mat,13108,26215,39323,52430,-43.1829570558272,-82.4760013123593,-86.6160416539881,-86.8455192717049,19741,31849,45456,-86.2359135122811,-86.6635557298881,-86.7538889346261,-119.561697148435,-119.748322776661,-119.856781291799,1,1,1,0,0,0,0,0,0,6.68955490876476e-05,6.67311585272226e-05
1m_x_01,1m_x_01_28.mat,13108,26215,39323,52430,-42.5993363521834,-81.962322823158,-86.62771182747,-86.7891261041136,19745,33404,45930,-85.8650257645775,-86.6296605745824,-86.9143322854362,-119.38155948715,-119.771461268411,-119.891441907107,1,1,1,0,0,0,0,0,0,6.7627945625942e-05,6.62909180066901e-05
1m_x_01,1m_x_01_30.mat,13108,26215,39323,52430,-41.8801207076993,-81.6794903627948,-86.4355493301834,-86.7572600955769,19896,31838,45284,-85.8883324223039,-86.7753951669,-86.8851601037168,-119.444045138905,-119.745883526526,-119.87881788179,1,1,1,0,0,0,0,0,0,6.78364254383532e-05,6.71255024191798e-05
1m_x_01,1m_x_01_32.mat,13108,26215,39323,52430,-41.4253931140679,-80.9521789369969,-86.2583165957805,-87.0085720148969,18772,32591,46391,-84.4732883067098,-86.7497825696928,-86.9198146109441,-119.418213153213,-119.797608935948,-119.980125232638,1,1,1,0,0,0,0,0,0,6.7107367822726e-05,6.66933267731518e-05
1m_x_01,1m_x_01_34.mat,13108,26215,39323,52430,-40.6462229468093,-80.0532462407775,-86.0372545241287,-86.9697857617874,19160,33354,45176,-84.804763790512,-86.8213283058771,-86.9314841330315,-119.275335982657,-119.782481213121,-119.900584869942,1,1,1,0,0,0,0,0,0,6.82377045693348e-05,6.65365526188567e-05
1m_x_01,1m_x_01_36.mat,13108,26215,39323,52430,-40.0508964795306,-79.5172694197596,-85.7469651223195,-86.7726038208262,19954,31947,45706,-85.0952903955051,-86.7184071779237,-86.9976496384799,-119.279359107686,-119.800394005433,-119.95872317985,1,1,1,1,0,0,0,0,0,6.91145850882092e-05,6.70951154260142e-05
