concentration,filename,frame,pressure_MPa,H1_idx,H2_idx,H3_idx,H1_dB,H2_dB,H3_dB,U1_idx,U2_idx,U3_idx,U1_dB,U2_dB,U3_dB,target_bb_std,ambient_bb_std,harmonic_threshold_dB,U1_threshold_dB,U2_threshold_dB,U3_threshold_dB,exceeds_H1,exceeds_H2,exceeds_H3,exceeds_U1,exceeds_U2,exceeds_U3,safety_1s,safety_2s,safety_3s
1000x_01,PCI_1000x_01.pacq,1,0.025,12584,14681,16778,-56.4759342701009,-48.1099700010815,-54.8433429734559,14617,15422,18796,-52.6768458863298,-52.3617848658179,-50.6708123033881,0.459064489089503,0.466824353655995,-53.9883295258759,-54.2218417220859,-50.6375024680176,-48.3572425379499,0,1,0,1,0,0,0,0,0
1000x_01,PCI_1000x_01.pacq,2,0.03,12584,14681,16778,-50.3894833451125,-43.1292782491543,-48.7765759788536,14617,14878,18811,-50.5422257456378,-47.612051532778,-41.7706769298355,0.471417595095943,0.466623723656515,-53.9753045234719,-54.2236501123949,-50.3600334718426,-49.3149912174704,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,3,0.035,12584,14681,16778,-45.1621645135028,-42.908258176606,-40.1433303203731,12781,14878,18811,-49.7071917003511,-47.4357528619931,-34.0749779371968,0.482099219330526,0.472431658827809,-53.9691717091287,-53.7220745565634,-50.9517760713699,-48.5962217732592,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,4,0.04,12584,14681,16778,-47.8142047820913,-40.9652765859529,-33.9110447917504,12780,14878,18811,-37.6353545293107,-39.7042717352448,-34.1805824355899,0.509729557885716,0.485744391301445,-53.944192458876,-53.2469996145398,-50.0074715107837,-48.6693442511105,1,1,1,1,1,1,0,0,0
1000x_01,PCI_1000x_01.pacq,5,0.045,12584,14681,16778,-34.5414828882439,-23.5039576085994,-19.868030384824,12780,14877,16842,-29.5193585520825,-25.4901074485212,-26.1397957061233,0.97012587066734,0.465281767395619,-53.9774620118647,-53.0071487680922,-50.1840865757163,-48.1756668206538,1,1,1,1,1,1,1,0,0
1000x_01,PCI_1000x_01.pacq,6,0.05,12584,14681,16778,-36.3001816282204,-28.4449631526705,-21.1590012314976,12773,14870,18811,-25.2801372727893,-23.004474117944,-20.9574160204511,1.30417254281364,0.474018350843289,-53.9380988900729,-53.6274229570285,-50.642513392505,-47.5078037648756,1,1,1,1,1,1,1,0,0
1000x_01,PCI_1000x_01.pacq,7,0.055,12584,14681,16778,-39.9863220699472,-32.3902055885377,-21.8711480324689,12778,14875,18808,-27.1451479981328,-25.6369210143276,-23.2216108969919,2.53130378058482,0.480278100677452,-53.9163233305624,-53.1436285640195,-49.7130483895907,-46.1460400444399,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,8,0.06,12584,14681,16778,-34.7838088937782,-30.3539288879926,-22.7587686593113,12726,16724,18821,-26.356039464688,-22.0248451990448,-18.9488091200106,3.36765701340643,0.473549943818784,-53.8795914292759,-51.6133987249039,-49.2074009255693,-47.1725706284844,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,9,0.065,12584,14681,16778,-37.6940200896805,-28.0783253249068,-23.7576969629262,12708,16718,18815,-23.5444646579442,-18.7517001841408,-14.7544310675045,5.10453553415375,0.470305588340059,-53.8330547011442,-48.8388657665188,-44.8586163382864,-44.1792303798068,1,1,1,1,1,1,1,1,1
1000x_01,PCI_1000x_01.pacq,10,0.07,12584,14681,16778,-34.2618122225445,-31.0071651611114,-24.7837713450369,14605,16703,18820,-23.1729355977346,-16.9466536521694,-16.7183077807343,7.06679613865165,0.485041052096939,-53.869375382499,-43.9189697105974,-47.1664278663958,-41.4371394988691,1,1,1,1,1,1,1,1,1
