H1_dB,H2_dB,H3_dB,U1_dB,U2_dB,U3_dB,Unsafe_1s
-86.62299533,-86.91976052,-86.87270266,-86.49660129,-86.65806525,-86.93767464,0
-86.70613828,-86.91367366,-86.95796993,-86.67211348,-86.76497898,-87.00115701,0
-86.66672497,-86.82972243,-87.03251255,-86.63245122,-86.73732476,-86.82419107,0
-86.6566753,-86.84453757,-86.95577968,-86.57221855,-86.76871297,-86.96067229,0
-86.43058622,-86.7259057,-86.94699774,-86.57306567,-86.69161779,-86.92143332,0
-85.85123764,-86.73565134,-86.72067033,-86.39081743,-86.04782629,-86.73960735,0
-85.56176708,-86.68582154,-86.74069036,-85.90462508,-86.28383725,-86.83334601,0
-84.78835159,-85.82376476,-86.27545113,-85.77848433,-84.5276198,-86.00263086,0
-85.09142502,-86.62748648,-86.92735189,-86.38983461,-86.76807056,-86.97878854,0
-84.76761423,-86.7822274,-87.00472286,-86.32586104,-86.6923584,-86.88142862,0
-84.02813588,-86.74975884,-86.98947211,-86.26221911,-86.74389,-86.94262653,0
-83.35368759,-86.75361037,-86.80133977,-86.24763097,-86.75262959,-86.90708436,0
-82.47600131,-86.6160421,-86.8455202,-86.23591392,-86.66355528,-86.75388939,0
-81.96232252,-86.62771271,-86.78912795,-85.86502576,-86.62966102,-86.91433276,0
-81.67949008,-86.43554933,-86.75725872,-85.88833242,-86.77539563,-86.88516152,0
-80.95217894,-86.2583166,-87.00857056,-84.47328804,-86.74978348,-86.91981509,0
-80.05324624,-86.03725491,-86.96978624,-84.80476379,-86.82132784,-86.93148461,0
-79.51726942,-85.74696585,-86.77260382,-85.09528977,-86.71840672,-86.9976506,0
-79.24542702,-85.49211646,-86.83655649,-84.73104087,-86.68129393,-86.91155346,0
-78.87939494,-84.94222572,-86.79336802,-85.17117499,-86.7173288,-86.92305975,0
-78.19724255,-84.35575022,-86.76777917,-84.65616133,-86.84353371,-87.00949124,0
-77.27967143,-83.83916655,-86.75878229,-84.43407806,-86.7957024,-86.80593056,0
-77.13819258,-83.28001012,-86.70986134,-82.54850808,-86.8428904,-86.76371825,0
-77.30151812,-82.41292981,-86.70965248,-84.6537236,-86.86323264,-87.01682201,0
-76.62348554,-81.36641518,-86.77077143,-83.58966629,-86.73654369,-87.00224536,0
-75.22386025,-80.27674967,-86.06923848,-81.61044335,-86.8854543,-86.8796588,0
-72.6369255,-79.26402005,-84.8872292,-77.7129801,-86.74436388,-86.7918249,0
