H6_freq,H6_db,H6_power,H7_freq,H7_db,H7_power,H8_freq,H8_db,H8_power,H9_freq,H9_db,H9_power,H10_freq,H10_db,H10_power,H11_freq,H11_db,H11_power,H12_freq,H12_db,H12_power,U6.5_freq,U6.5_db,U6.5_power,U7.5_freq,U7.5_db,U7.5_power,U8.5_freq,U8.5_db,U8.5_power,U9.5_freq,U9.5_db,U9.5_power,U10.5_freq,U10.5_db,U10.5_power,U11.5_freq,U11.5_db,U11.5_power,U12.5_freq,U12.5_db,U12.5_power,broadband_noise_db,broadband_noise_.ower,filename,frame
3046751.022,-54.44451618,0.122426686,3499984.741,-48.10997,0.215794623,4044532.776,-51.61036063,0.417321656,4549980.164,-50.66484606,0.550783019,5000114.441,-47.85198817,0.611257828,5500078.201,-49.9743374,0.605782033,5993604.66,-49.95254273,0.596993281,3260135.651,-56.4051592,0.142408237,3676652.908,-52.36178487,0.304251321,4231691.36,-50.8087072,0.509391234,4795789.719,-50.66337162,0.55290968,5320072.174,-50.80486517,0.57676323,5730628.967,-51.09474812,0.553709319,6185054.779,-50.38936873,0.585483285,-54.53732744,2.306895709,PCI_1000x_01.pacq,1
3000020.981,-50.38948335,0.135790908,3499984.741,-43.12927825,0.274448857,3999948.502,-48.77657598,0.415270855,4499912.262,-37.75923399,0.728381441,4999876.022,-41.6504206,0.670538968,5500078.201,-39.42287335,0.776884064,6000041.962,-48.12450254,0.614279588,3305673.599,-55.49855385,0.147477419,3826141.357,-52.90036555,0.299241547,4310846.329,-51.34461993,0.49497637,4708051.682,-50.90072753,0.58692346,5323171.616,-50.14087023,0.572715491,5792379.379,-50.74063258,0.599675359,6206989.288,-50.57074436,0.581546754,-54.24847465,3.024749893,PCI_1000x_01.pacq,2
3000020.981,-45.16216451,0.153668386,3499984.741,-42.90825818,0.269988842,3999948.502,-40.14333032,0.60551278,4499912.262,-29.1938649,1.955749939,5000114.441,-40.09965155,0.712961992,5500078.201,-40.95575549,0.791688941,6015300.751,-33.56767488,1.500424589,3265619.278,-56.19810272,0.158782161,3768920.898,-52.85942531,0.310304113,4260301.59,-51.16656662,0.501913713,4797935.486,-49.6596897,0.600907022,5244493.484,-50.57182441,0.580782709,5718708.038,-48.18631834,0.610858976,6214380.264,-50.35614912,0.575898474,-54.37741095,2.183433987,PCI_1000x_01.pacq,3
3046751.022,-37.63535453,0.352436908,3546953.201,-39.70427174,0.432243847,3999948.502,-33.91104479,0.908072174,4499912.262,-29.59604776,1.887390515,4999876.022,-27.97296313,2.893864779,5500078.201,-31.64970582,1.843260951,5984783.173,-34.44921597,1.354164105,3317832.947,-55.32247849,0.154650235,3767251.968,-52.70257284,0.305848667,4265546.799,-49.13374541,0.534191951,4765510.559,-48.91216844,0.618424413,5265712.738,-49.29999986,0.588784926,5825757.98,-50.03929511,0.609639504,6218671.799,-48.54913811,0.621964782,-54.1150057,2.424641049,PCI_1000x_01.pacq,4
3046751.022,-29.51935855,3.302440897,3499984.741,-23.50395761,9.30075133,3999948.502,-19.86803038,15.31304945,4499912.262,-24.88350142,14.11017656,4999876.022,-19.84942216,31.97980907,5499839.783,-17.5036774,45.8264767,5984783.173,-21.0066763,24.58952138,3265619.278,-40.9783413,0.419720455,3765583.038,-39.15358249,0.752742874,4265785.217,-37.88246599,1.049502192,4765748.978,-40.65544636,1.200841677,5218744.278,-38.34692746,1.328401514,5718708.038,-37.77511851,1.363872237,6218910.217,-36.08424488,1.351184648,-50.47027588,4.240917629,PCI_1000x_01.pacq,5
3045082.092,-25.28013727,13.43753885,3545045.853,-23.00447412,21.59285984,3999710.083,-20.23231363,37.18513923,4499912.262,-15.97189516,87.42964664,4998207.092,-15.66252488,137.3951308,5498170.853,-15.09178384,164.4219886,5982875.824,-17.78670835,127.4716449,3267526.627,-38.27582676,1.497292571,3767490.387,-36.56901896,2.244172744,4267454.147,-35.36239191,3.034968576,4767417.908,-36.65408574,3.764620918,5218982.697,-36.69494548,4.182115179,5720615.387,-35.55681371,4.360696296,6220579.147,-34.86811143,4.209342831,-44.76153526,13.99447027,PCI_1000x_01.pacq,6
3046274.185,-27.145148,18.27715272,3546237.946,-25.63692101,29.90758188,3999948.502,-21.87114803,53.18425637,4499197.006,-18.6610529,100.1371686,4999160.767,-16.91353437,171.9539467,5497694.016,-17.27358124,210.4552989,5996704.102,-18.36331803,204.9982382,3222942.352,-35.69604491,3.988441816,3722667.694,-35.60474051,5.446827606,4221677.78,-34.8723918,6.922988825,4750251.77,-31.91955077,8.262210774,5250453.949,-30.44813146,10.48732279,5750179.291,-31.29537558,11.4515932,6223678.589,-32.93331691,10.27115775,-40.81055081,48.69159839,PCI_1000x_01.pacq,7
3033876.419,-26.35603946,37.70001637,3544569.016,-25.36357414,56.62473723,3987073.898,-22.0248452,91.09339272,4487037.659,-18.94880912,161.9046515,4997730.255,-15.07403787,298.0485365,5497694.016,-15.28520042,376.3856404,5996465.683,-17.20374438,323.2373514,3268003.464,-38.48275962,4.433234269,3767967.224,-35.41908006,6.292540857,4225254.059,-34.32108829,8.280812343,4778862,-34.54335659,10.1577219,5220651.627,-34.06083549,11.71501351,5720853.806,-32.00405116,13.30438759,6223201.752,-32.76452092,13.13527673,-39.595272,61.9141875,PCI_1000x_01.pacq,8
3029584.885,-23.54446466,83.40213936,3526449.203,-21.2653498,122.6882412,3985643.387,-18.75170018,197.0713194,4485607.147,-14.75443107,366.176327,4983425.14,-14.33002096,565.5135305,5479574.203,-14.1952982,666.3015149,5979537.964,-13.97660575,580.4137473,3291606.903,-34.55823075,8.814340888,3791809.082,-33.37693346,12.08551014,4286050.797,-31.73111149,16.46841329,4745006.561,-31.59361323,22.00743843,5247831.345,-30.88890758,27.80583964,5747795.105,-29.48384129,31.2569676,6223917.007,-29.77943992,28.52075968,-37.38866961,111.8772693,PCI_1000x_01.pacq,9
3027677.536,-24.63006759,71.52689368,3527641.296,-22.81841236,114.7679476,3982067.108,-16.94665365,223.9470082,4486799.24,-16.71830778,383.0696942,4979133.606,-15.4832666,556.2876172,5465507.507,-14.95626555,609.4141333,5996227.264,-15.61915929,549.0986653,3282070.16,-32.30717064,12.56208169,3784656.525,-31.69526764,16.53870346,4232883.453,-30.72182966,21.01909631,4702568.054,-30.09522219,29.00038919,5248069.763,-28.56829818,36.71284335,5784511.566,-29.16453665,42.56286528,6244182.587,-29.84520695,40.52364809,-36.1373595,123.8246478,PCI_1000x_01.pacq,10
